no_asm,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,rc_lookahead_20,rc_lookahead_40,rc_lookahead_60,ref,ref_1,ref_5,ref_9,Performance
Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y,N,N,Y,581.107
Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,644.157
Y,N,Y,N,N,N,Y,N,Y,Y,N,N,Y,N,N,Y,507.247
Y,N,N,Y,N,Y,N,N,Y,Y,N,N,Y,N,Y,N,521.7
Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,N,455.72
Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,N,Y,N,537.143
Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,279.903
Y,Y,N,N,Y,N,Y,N,Y,N,N,Y,Y,Y,N,N,264.38
Y,N,Y,N,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,N,299.85
Y,Y,N,Y,Y,N,N,N,Y,N,Y,N,Y,N,N,Y,715.25
Y,Y,Y,Y,N,N,Y,N,Y,N,Y,N,Y,Y,N,N,246.273
Y,Y,N,Y,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,263.91
Y,Y,N,N,N,Y,Y,N,Y,N,Y,N,Y,N,N,Y,561.96
Y,Y,N,Y,N,Y,N,N,Y,N,Y,N,Y,Y,N,N,286.427
Y,N,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,378.283
Y,Y,N,N,Y,Y,Y,N,Y,N,Y,N,Y,N,N,Y,652.653
Y,N,N,Y,Y,N,Y,Y,Y,Y,N,N,Y,N,Y,N,446.25
Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,N,Y,N,424.89
Y,N,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,N,482.377
Y,N,Y,N,Y,N,Y,N,Y,N,N,Y,Y,N,Y,N,446.64
Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,N,Y,N,426.443
Y,N,Y,Y,N,Y,N,Y,Y,N,Y,N,Y,N,N,Y,715.907
Y,Y,Y,N,Y,N,N,N,Y,N,Y,N,Y,Y,N,N,251.87
Y,N,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,295.683
Y,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,482.083
Y,N,N,Y,Y,N,Y,N,Y,N,Y,N,Y,Y,N,N,277.853
Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,Y,N,Y,N,421.113
Y,N,Y,Y,Y,Y,N,N,Y,Y,N,N,Y,N,N,Y,809.937
Y,N,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,N,N,Y,809.97
Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,Y,Y,N,N,275.957
Y,N,Y,Y,N,N,N,N,Y,Y,N,N,Y,Y,N,N,259.807
Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,462.473
Y,N,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,N,Y,817.793
Y,N,N,Y,N,Y,Y,Y,Y,N,N,Y,Y,N,N,Y,580.41
Y,N,Y,N,N,Y,N,Y,Y,N,Y,N,Y,Y,N,N,295.61
Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,N,535.697
Y,Y,N,N,Y,N,Y,Y,Y,N,Y,N,Y,N,Y,N,433.693
Y,Y,Y,N,N,N,N,Y,Y,N,N,Y,Y,Y,N,N,247.507
Y,N,Y,N,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,666.553
Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,299.677
Y,N,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,N,476.31
Y,Y,N,N,N,N,N,Y,Y,N,N,Y,Y,N,Y,N,425.873
Y,Y,N,Y,N,N,Y,N,Y,N,Y,N,Y,Y,N,N,256.34
Y,N,N,Y,N,N,N,Y,Y,N,N,Y,Y,N,Y,N,447.647
Y,N,Y,Y,N,Y,N,N,Y,N,Y,N,Y,N,Y,N,513.233
Y,N,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,444.607
Y,N,Y,N,Y,N,Y,N,Y,Y,N,N,Y,Y,N,N,266.67
Y,Y,N,N,N,N,Y,N,Y,N,Y,N,Y,N,N,Y,498.49
Y,Y,N,N,Y,Y,N,N,Y,N,Y,N,Y,N,N,Y,780.93
Y,N,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,295.683
Y,Y,N,Y,Y,Y,N,N,Y,Y,N,N,Y,N,Y,N,545.017
Y,Y,Y,N,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,N,279.757
Y,N,N,N,N,Y,N,Y,Y,N,Y,N,Y,Y,N,N,305.443
Y,Y,N,Y,N,Y,N,N,Y,N,Y,N,Y,Y,N,N,286.427
Y,Y,N,N,N,N,Y,N,Y,N,Y,N,Y,Y,N,N,256.82
Y,N,N,Y,Y,N,N,N,Y,Y,N,N,Y,N,Y,N,516.22
Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,427.243
Y,N,N,N,Y,N,N,Y,Y,Y,N,N,Y,Y,N,N,275.92
Y,N,Y,Y,N,N,Y,N,Y,Y,N,N,Y,N,N,Y,506.36
Y,Y,N,N,N,N,N,Y,Y,N,N,Y,Y,N,N,Y,588.2
Y,Y,Y,Y,Y,N,N,N,Y,N,Y,N,Y,N,Y,N,487.373
Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,666.493
Y,N,Y,N,N,Y,N,N,Y,N,Y,N,Y,N,N,Y,712.917
Y,Y,N,N,N,Y,Y,N,Y,N,Y,N,Y,N,N,Y,561.96
Y,Y,Y,N,N,N,N,N,Y,Y,N,N,Y,Y,N,N,244.39
Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,N,N,260.55
Y,Y,N,N,Y,Y,N,Y,Y,N,Y,N,Y,N,N,Y,780.757
Y,Y,Y,N,N,N,Y,N,Y,N,Y,N,Y,Y,N,N,246.543
Y,Y,N,Y,Y,N,Y,N,Y,Y,N,N,Y,N,N,Y,613.763
Y,Y,Y,Y,N,Y,N,N,Y,N,Y,N,Y,N,N,Y,683.763
Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y,Y,N,N,246.41
Y,N,N,N,Y,N,Y,N,Y,Y,N,N,Y,N,N,Y,631.043
Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,299.843
Y,N,Y,N,N,Y,Y,N,Y,N,Y,N,Y,Y,N,N,295.68
Y,N,Y,N,N,Y,N,Y,Y,N,Y,N,Y,N,N,Y,712.637
Y,N,N,N,N,N,N,Y,Y,N,Y,N,Y,N,Y,N,444.333
Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,291.61
Y,N,Y,Y,N,N,Y,Y,Y,N,Y,N,Y,N,Y,N,379.4
Y,Y,N,N,N,Y,N,N,Y,N,N,Y,Y,N,N,Y,687.473
Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,Y,N,Y,N,421.113
Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,N,Y,N,Y,N,486.827
Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,N,Y,Y,N,N,275.453
Y,N,N,Y,N,N,Y,Y,Y,N,Y,N,Y,N,N,Y,510.017
Y,N,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,310.753
Y,Y,N,Y,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,263.91
Y,Y,N,N,N,Y,N,Y,Y,N,N,Y,Y,N,Y,N,492.36
Y,N,Y,Y,N,Y,N,Y,Y,Y,N,N,Y,N,N,Y,715.923
Y,Y,N,N,Y,N,N,N,Y,N,Y,N,Y,N,N,Y,712.54
Y,N,Y,N,Y,N,N,Y,Y,N,N,Y,Y,N,Y,N,508.547
Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,N,Y,N,N,Y,555.58
Y,N,Y,N,Y,N,N,N,Y,N,Y,N,Y,N,N,Y,731.353
Y,Y,N,Y,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,433
Y,Y,N,N,Y,Y,N,Y,Y,Y,N,N,Y,N,N,Y,780.657
Y,N,Y,N,N,N,N,N,Y,Y,N,N,Y,N,Y,N,436.117
Y,Y,N,Y,N,N,N,Y,Y,N,N,Y,Y,Y,N,N,257.45
Y,N,N,N,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,310.673
Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,Y,N,N,Y,773.437
Y,N,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,310.793
Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,Y,N,N,Y,607.627
Y,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,413.913
Y,Y,N,N,Y,Y,N,N,Y,N,Y,N,Y,N,Y,N,543.463
Y,Y,Y,N,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,279.753
Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,665.223
Y,N,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,N,N,Y,627.5
Y,Y,N,Y,N,N,N,Y,Y,N,N,Y,Y,Y,N,N,257.45
Y,N,N,Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,N,N,275.31
Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,666.25
Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,482.04
Y,N,N,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,N,Y,671.73
Y,Y,N,Y,N,N,N,N,Y,Y,N,N,Y,N,Y,N,425.063
Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,Y,N,N,Y,773.277
Y,Y,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,N,Y,N,544.58
Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,N,279.777
Y,N,Y,N,N,Y,N,N,Y,N,Y,N,Y,N,Y,N,511.58
Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,575.397
Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,N,Y,490.043
Y,N,N,Y,N,Y,N,Y,Y,N,N,Y,Y,Y,N,N,305.147
Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,445.837
Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,N,Y,Y,N,N,275.433
Y,N,Y,N,N,N,N,Y,Y,Y,N,N,Y,N,N,Y,601.59
Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,N,Y,783.493
Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,Y,N,Y,N,432.143
Y,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,Y,Y,N,N,262.51
Y,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,Y,N,442.25
Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,455.493
Y,N,N,N,N,Y,N,Y,Y,Y,N,N,Y,N,N,Y,721.757
Y,N,N,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,304.94
Y,Y,Y,Y,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,275.453
Y,Y,Y,Y,N,N,Y,N,Y,N,N,Y,Y,N,N,Y,493.007
Y,Y,Y,N,N,Y,Y,N,Y,Y,N,N,Y,N,Y,N,408.84
Y,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,Y,N,N,Y,773.277
Y,Y,N,Y,N,N,N,Y,Y,N,Y,N,Y,N,Y,N,426.75
Y,Y,N,N,N,Y,N,N,Y,N,N,Y,Y,N,N,Y,687.473
Y,Y,N,N,N,N,N,Y,Y,N,N,Y,Y,N,Y,N,425.873
Y,N,N,N,Y,N,Y,N,Y,N,Y,N,Y,Y,N,N,278.227
Y,N,N,N,Y,N,N,Y,Y,N,Y,N,Y,N,N,Y,741.207
Y,N,Y,Y,N,Y,Y,N,Y,N,Y,N,Y,N,Y,N,427.753
Y,N,Y,Y,Y,N,N,Y,Y,Y,N,N,Y,N,Y,N,506.93
Y,Y,Y,N,Y,N,Y,N,Y,N,N,Y,Y,N,N,Y,611.6
Y,N,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,299.96
Y,Y,N,Y,N,Y,N,Y,Y,N,Y,N,Y,N,Y,N,493.71
Y,Y,Y,N,Y,N,Y,N,Y,N,Y,N,Y,Y,N,N,251.823
Y,N,N,Y,Y,N,N,Y,Y,N,Y,N,Y,Y,N,N,277.533
Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,N,Y,N,Y,N,408.07
Y,N,Y,Y,N,Y,N,N,Y,N,Y,N,Y,N,Y,N,513.233
Y,Y,Y,N,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,252.963
Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,Y,N,N,252.63
Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,643.96
Y,N,N,N,N,N,N,Y,Y,N,Y,N,Y,N,N,Y,612.643
Y,Y,N,N,Y,N,N,Y,Y,Y,N,N,Y,N,Y,N,491.687
Y,N,N,Y,N,N,Y,N,Y,N,N,Y,Y,N,N,Y,510.837
Y,Y,N,N,Y,N,Y,Y,Y,N,Y,N,Y,N,Y,N,433.693
Y,N,N,Y,N,N,Y,N,Y,N,N,Y,Y,N,Y,N,383.26
Y,N,Y,N,Y,Y,Y,N,Y,N,N,Y,Y,N,N,Y,666.687
Y,N,Y,Y,N,Y,N,Y,Y,N,N,Y,Y,Y,N,N,295.423
Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,Y,N,Y,N,537.153
Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,N,Y,Y,N,N,249.44
Y,Y,N,N,Y,N,N,N,Y,Y,N,N,Y,N,Y,N,492.127
Y,Y,Y,Y,N,N,Y,Y,Y,N,N,Y,Y,N,N,Y,492.427
Y,Y,N,N,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,264.287
