N,2N,3N,I2
0.6053,0.0286,0.1205,0.5385
0.0893,0.2375,0.0915,0.4017
0.1892,0.0341,0.0303,0.0317
0.0702,0.2692,0.0429,0.0476
0.6944,0.1081,0.0956,0.553
0.1159,0.1098,0.0857,0.0702
0,0.25,0.0526,0.3667
0,0.3311,0.0833,0.078
0.3864,0.36,0.0303,0.1296
0,0.0303,0.0561,0.1582
0.0625,0.1098,0.0323,0.1293
0.0732,0.7,0.0667,0.5891
0.1644,0.0536,0.1351,0.0972
0.1915,0.2297,0.05,0.057
0.0909,0.0303,0.0429,0.058
0.1408,0,0.0459,0.2424
0.1429,0.1525,0.0806,0.037
0.4186,0.0794,0.025,0.0409
0.0469,0.0685,0.0303,0.159
0.05,0.1081,0.0635,0.3667
0.2105,0.0484,0.1217,0.0476
0.2561,0.0833,0.0053,0.0076
0.1915,0.3311,0.1534,0.2742
0,0.4559,0.0184,0.0196
0.1286,0.8889,0.0488,0.0123
0.1176,0.1375,0.1356,0.0917
0.0625,0.0319,0.029,0.0183
0.0615,0.2593,0.255,0.0101
1.1034,0.0645,0,0.0234
0.0625,0.2375,0.1908,0.2405
0,0.2826,0.0077,0.2742
0.0625,0.375,0.0588,0.0417
0.0909,0.1724,0.1455,0.0753
0.0323,0.0625,0.055,0.3333
0.027,0.1375,0.1111,0.0991
0.0556,0.1765,0.1111,0.4386
0.0732,0,0.0203,0.0368
0.1296,0,0.1522,1.069
0,0.6585,0.1908,0.1156
0.05,0.125,0.0588,0.1961
0.3864,0.7069,0.1702,0.0238
0.6486,0.0135,0.1429,0.0833
0.0758,0.0303,0.1722,0.0386
0.0714,0.4143,0.025,0.0643
0.1644,0.0109,0.2094,0.0376
0.1286,0.7,0.1136,0.1365
0.4878,0.0256,0,0.0575
0.0952,0.1667,0.08,0.2148
0.0345,0.2073,0,0.0076
0.0556,0.3219,0.0152,0.0199
0.0625,0.0312,0.0263,0.0569
0.525,0.0111,0.0449,0.2148
0.1176,0,0.1429,0.0376
0.2469,0.0588,0.0588,0.0812
0.2375,0.0571,0.2041,0.1404
0.0893,0.4375,0.0449,0.0317
0.0339,0.1375,0.075,0.0833
0.1286,0.0172,0.1118,0.1961
0.0952,0.5111,0.0714,0.1619
0.0339,0,0.0068,0.1404
0.0345,0.0109,0.1057,0.0238
0,0.0303,0.075,0.5
0.1159,0,0.0197,0.0702
0.7941,0.3571,0.1034,0.1494
0.1364,0.0685,0.032,0.0354
0.0345,0.2692,0.1034,0.0565
0.525,0.0423,0.0053,0.1111
0.0909,0.5455,0.0675,0.1449
0.4878,0.6585,0.1765,0.1884
0.0615,0.0323,0.1136,0.0569
0.1429,0.0556,0.0984,0.0317
0.0323,0.0484,0.0147,0.0046
0.3556,0.2016,0.0263,0.5
0.1176,0.8378,0.0588,0.0094
0.0556,0.0536,0.0323,0.197
0.0323,0.0323,0.055,0.1202
0.0317,0.0833,0.0688,0.057
0.0323,0.2929,0.0698,0.6667
0.1867,0.1148,0.0244,0.1038
0.1667,0.7895,0,0.1286
0.6944,0.0429,0.1034,0.0991
0.0323,0.0571,0.0459,0.0247
0.1667,0.193,0.0806,0.1296
0.1757,0.1324,0.08,0.0183
0,0.619,0.0152,0.0081
0.0323,0.3125,0.1111,0.1382
0.3556,0.0139,0.0806,0.1296
0.1644,0.1605,0.0216,0.1323
0.0857,1,0.0588,0.0238
0,0.3028,0.0053,0.0569
0.0952,0.3654,0,0.0078
0.0161,0.0312,0.1304,0.7521
0.1644,0,0.0857,0.0734
0.0758,0.1974,0.1409,0.0991
0.0256,0.7436,0.0256,0.1781
0.1176,0.0667,0.0429,0.0101
0.0317,0.0167,0,0.1042
0.5641,0.2721,0.0984,0.0101
0.0256,0.3889,0,0.0368
0.525,0.0462,0.0603,0.0317
0.0625,0.0312,0.1167,0.0152
0.5641,0.1034,0.0444,0.1458
0.0469,0.0312,0.1131,0.0427
0.0758,0.2826,0.078,0.3946
0.1176,0.0735,0.1702,0.3333
0.1029,0.161,0.0901,0.0234
0.1528,0.0811,0.0308,0.2742
0.0714,0.1034,0.0822,0.0833
0.1757,0.0167,0.0588,0.0417
0.22,0.3028,0.1964,0.0972
0.2449,0.1316,0.05,0.0702
0.0625,0.0667,0.0303,0.0859
0.1915,0.0319,0.1,0.6216
0.1429,0.4783,0.1754,0.197
0.027,0.2692,0.0667,0.5
0,0.1974,0,0.0991
0.1163,0.0395,0.0635,0.0917
0.7941,0.2692,0.2407,0.0766
0.0161,0.7895,0.1579,0.0167
0.1892,0.1885,0.0303,0.5385
0.05,0.0102,0.0216,0.0196
0.2245,0.0286,0.1964,0.5185
0.525,0.25,0.0303,0.159
0.1528,0.1525,0.0667,0.0933
0.0469,0.1429,0.1111,0.0565
0.1644,0.1324,0.1118,0.0753
0.1176,0.3219,0.0256,0.7521
0.0909,0.2929,0.1579,0.219
0.0857,0.0294,0.0325,0.2323
0.0317,0,0.08,0.0152
0.05,0.0714,0.0857,0.0903
0.0556,0.1148,0.0901,0.0822
0.1408,0.0781,0.0068,0.0081
0.1286,0.0833,0.1908,0.0847
0.3261,0.2375,0.1356,0.0822
0.6053,0.1375,0.0216,0.0417
0.1408,0.2143,0.1,1.0098
0.1364,0.0395,0.0667,0.1856
0.0625,0.2612,0.1522,0.1382
0.0615,0.0319,0.0323,0.7143
0.0732,0.0476,0.029,0.0101
0.0909,0.0294,0.0563,0.1111
0.1528,0.0294,0,0.0833
0.0758,0.1316,0.0323,0.1619
0.0732,0.1111,0.1,0.6078
0.1739,0.1,0.0303,0.0234
0,0.0145,0.0667,0.0167
0.5641,0.175,0,0.0417
0.0323,0.2143,0.025,0.1038
0.0857,0.0429,0.2845,0.126
0.2469,0.3734,0.0488,0.159
0.0161,0.3378,0.0635,0.0643
0.027,0.2016,0.1333,0.2037
0.2105,0.0968,0.093,0.0991
0.1029,0.0526,0.025,0.0833
0.1974,0.1053,0.025,0.1176
0,0.3963,0.0469,0.058
0.0909,0.0476,0.0152,0.0917
0.0339,0.0341,0.0323,0.1892
0.1556,0.1807,0.0603,0.0196
0.05,0.0909,0.2689,0.0753
0.5641,0.1098,0.0323,0.0076
0.1159,0.0933,0,0.1111
0.1176,0.15,0.0909,0.0042
0.525,0.1098,0.0323,0.2033
0.5641,0.1053,0,0.2131
0.0517,0.2143,0.0519,0.0083
0.0167,0.0484,0.0059,0.0707
0.4524,0.1098,0.0059,0.0417
0.6486,0.2266,0.1061,0.1562
0.2179,0.0462,0.3725,0.0342
0.05,0.1375,0.2613,0.0571
0.027,0.0476,0.0395,0.0833
0.05,0.2639,0.025,0.0667
0.1364,0.0625,0.1458,0
0.1176,0,0.1057,0.0222
0.0909,0.1081,0.059,0.1933
0.2278,0.0513,0.0242,0.0491
0.3068,0.0303,0.1705,0.0476
0.0317,0.1439,0.025,0.1385
0.4878,0,0.2281,0.0662
0.7429,0.2365,0.1793,0.037
0.1739,0.0833,0.0059,0.088
0.0909,0,0.1536,0.0461
0.0159,0.2042,0.059,0.1765
0.4638,0.3,0.0145,0.05
0.0606,0.025,0.1952,0.0244
0.1111,0.0833,0.0865,0.05
0.2903,0.6667,0.2188,0.0614
0.4444,0.0606,0.0488,0.25
0.1765,0.0286,0.3333,0.0137
0.0263,0.164,0.0793,0.1746
0.5062,0.8571,0.1151,0.0397
0.5122,0.4868,0.0476,0.1204
1.2143,0.6667,0.3017,0.0108
0.2759,0.7568,0,0.1304
0.26,0.0147,0.0606,0.1364
0.0606,0.0606,0.1818,0.0083
0.0526,0.2556,0.0321,0.0417
0.0526,0,0.2963,0.0137
0.1429,0.2042,0.0949,0.0083
0.3651,0.625,0.1333,0.0357
0.0256,0.0152,0.155,0.0526
0.4521,0.6618,0.1458,0.0538
0.0976,0.0513,0.0562,0.0864
0.4737,0.0882,0.1103,0.0069
1.1379,0.1172,0.2071,0.1769
0.0244,0.378,0.1098,0.1562
0.075,0.413,0.059,0.0798
0.1111,0.2424,0.2613,0.0417
1.0667,0.1531,0.1267,0
0.2759,0.0682,0,0.2903
0.4805,0.1096,0.2318,0.0357
0.7222,0.0333,0.1111,0.1765
0.0508,0.4868,0.1828,0.0369
0.25,0.069,0.1963,0.0901
0.1212,0.7568,0.1406,0.0614
0.0811,0.0278,0.0786,0.0962
0.5122,0,0.1267,0.0798
0.0698,0.1207,0.0351,0.0575
0.0159,0.4125,0.0988,0.2759
0.3214,0.1087,0.0242,0.0725
0.0256,0.1633,0.1756,0.0985
0.0698,0.1111,0.1105,0.0108
0.403,0.3452,0.1818,0.0705
0.1765,0.1071,0.0903,0.1524
0.1489,0.025,0.0203,0.037
0.55,0.0424,0.0988,0.0342
0.0606,0.1277,0.0212,0.0342
0,0.1828,0.0066,0.0811
0.6757,0.0152,0.0903,0.0203
0.1429,0.0625,0.0865,0.1765
0.3846,0.0278,0.1111,0.0222
0.0882,0.314,0.0321,0.0575
0.4444,0.1591,0.2296,0.098
0.3443,0,0.1774,0.0476
0.25,0.075,0.0901,0.1098
0.3833,0.2059,0.0267,0.184
0.0811,0.2841,0.0562,0.05
0.2121,0.0571,0.0094,0.0222
0.5,0.1216,0.1012,0.0526
1.0667,0.058,0.1221,0.0069
0.4118,0.0889,0.0066,0.1746
0.3729,0.0046,0.0793,0.0263
0.2333,0.4487,0.142,0.0952
0.6316,0.0598,0.1105,0.082
0.0909,0.069,0.0071,0.0137
0.375,0.0556,0.142,0.0461
0.0882,0.0469,0.0321,0.136
0.3621,0.075,0.1952,0.0833
0.0164,0.0882,0.1536,0.2542
0.4937,0.0278,0.0139,0.0476
0.1765,0,0.1655,0.1037
0.1935,0.0333,0.0598,0.0524
0.0909,0.0976,0.0611,0.1481
1,0.1567,0,0.1111
0.1268,0.0882,0.1205,0.0526
0.1778,0.0333,0.2222,0.0069
0.0882,0.0263,0.0071,0.1765
0.8788,0.0303,0.1655,0.0417
0.0476,0.625,0.1611,0.0256
0.4737,0.0424,0.1333,0.1238
0.1111,0.0351,0.0767,0.0108
0.5062,0.0476,0.1587,0.1098
0.4366,0.0312,0.3725,0.0417
0.4595,0.0222,0.2071,0.0556
0.4219,0,0.0611,0.0952
0.0526,0.378,0.058,0.0882
1,0.0286,0.0395,0.1037
0.4219,0.0947,0.0429,0.05
0.0513,0.1308,0.1061,0.0698
0.4032,0.1772,0.0903,0.1171
0.4872,0.0278,0.127,0.0901
0.0571,0.625,0.0203,0.0707
0.4762,0.0046,0.0343,0.0513
0.6316,0.0476,0.0901,0.1489
0.8235,0.0156,0.2281,0.1556
0,0.0882,0.025,0.1176
0.4444,0.4125,0.0062,0.0909
0.1562,0.1165,0.0865,0.1837
0.5897,0.0333,0.0611,0.1204
0.1429,0.0351,0.0562,0.0571
0.4127,0.0469,0.0429,0.0864
0.1591,0.0152,0.1774,0.0707
0.3393,0.5854,0.245,0.1935
0.0513,0.0976,0.0641,0.3908
0.0256,0.1691,0.0562,0.0342
0.0526,0.1667,0.0949,0.0909
0.4932,0.0089,0.1267,0.0101
0.4762,0.0628,0.0638,0.1073
0.5181,0.025,0.1105,0.0526
0.4762,0.1828,0.0343,0.1385
0.9375,0.0656,0.1138,0.0108
0.075,0.1057,0.0853,0.0707
0.0244,0.0185,0.0254,0.1159
0.0877,0.0312,0.1143,0.0249
0.7714,0.0811,0.1143,0.3214
0,0.1458,0.0903,0.0137
0.0811,0.0738,0.1267,0.0163
0.4521,0.0571,0.0254,0.0203
0.2653,0.119,0.1267,0.0163
0.4714,0.0046,0.0949,0.1304
0.3333,0.0333,0.058,0.2167
0.8235,0.1081,0.0562,0.0633
0.3846,0.1333,0.1458,0.0417
0.1304,0,0.0875,0.0083
0.1481,0.4444,0.0062,0.1489
0.0508,0.0185,0.0833,0.0926
0.1304,1.2414,0.0059,0.0244
0.1212,0.1032,0.0562,0.0725
0.1765,0.1087,0.155,0.027
0.0976,0.0968,0.1774,0.0163
0.1562,0.0429,0.0242,0.0811
0.1489,0.0088,0.0358,0.1725
0.5122,0.2128,0.0903,0.1515
0.5455,0.0441,0.127,0.0725
0.0278,0.0185,0.1057,0.0108
0.2121,0.6618,0.1458,0.0857
0.0909,0.0317,0.0059,0.0571
0.4595,0.0789,0.0833,0.062
0.6316,0.0312,0.0486,0.0307
0.2121,0.2128,0.0771,0.1863
0.0976,0.0238,0.0351,0.0732
0.4203,0.0556,0.05,0.1765
0,0.0628,0.0185,0.25
0.2121,0,0.009,0.0203
0.0811,0.0476,0.1136,0.0667
0.4366,0.1017,0.0343,0.0421
0.7222,0.1053,0.1471,0.0977
0.1143,0.069,0.0562,0.1351
0.4559,0.4487,0.0766,0.03
0.2333,0,0.09,0.1182
0.4521,0.6667,0.0729,0.1096
0.119,0.025,0.1357,0.3
0.2121,0.0469,0.0064,0.224
0.25,0.0317,0.0966,0.0727
0,0.1395,0.0062,0
0.7222,0.0463,0.1125,0
0.2333,0.0263,0.04,0.0588
0.0256,0.1591,0.0098,0.1136
0.4714,0.8056,0.0473,0.1122
0.4932,0.1607,0.0785,0.2353
0,0.1111,0.0114,0.0541
1,0.0046,0.0062,0.2381
0.075,0.1714,0.0901,0.0244
0.0244,0.1053,0.06,0.0667
0.1304,0,0.1442,0.013
0.0606,0.0811,0.0648,0.0602
0.0811,0.0909,0.0062,0.0685
0.4638,0.1905,0.0943,0.0588
0.25,0.0645,0.192,0.0685
0.25,0.1377,0.1,0.0833
0,0.0645,0.2361,0.1111
0.1111,0.122,0.1314,0.1304
0.4667,0.0985,0.0258,0.0051
0,0.0588,0.1282,0.03
0.1489,0.0137,0.2092,0.05
0.8235,0.0909,0.1282,0.1378
0,0.0171,0.1389,0
0.1071,0.1098,0.0269,0.0051
0.3846,0.0938,0.0258,0.0127
0.1429,0.0429,0.0197,0.1182
0,0.0164,0.2941,0.0333
0.1935,0.0938,0.0706,0.1579
0.7714,0.1061,0.1579,0.0929
0.1111,0,0.1282,0.04
0.0323,0.0439,0.5172,0.04
0.0169,0.0429,0.0312,0.2
0.2245,0.1111,0.0364,0.1412
0.25,0.1185,0.2339,0.113
0.2807,0.1667,0.1282,0
0.0323,0.0435,0.0647,0.03
1.1515,0.25,0.0312,0.09
0.3617,0.0769,0.1316,0.0731
0,0.2,0.086,0.03
0.2105,0.2105,0.1944,0.0588
0.0533,0.0429,0.1944,0.1086
0.0323,0.1,0.1755,0.03
1.1515,0.0083,0.1012,0.1471
0.0282,0.0886,0.1934,0.0323
0.4286,0.0172,0.1217,0.0438
0.1429,0.1613,0.2941,0.1565
0.9211,0.1304,0.2222,0.0303
0.8718,0.0139,0.1217,0.041
1,0.0137,0.114,0.1351
0.1231,0.0769,0.0098,0.0323
0.0323,0.0875,0.0549,0.1034
0.0323,0.1098,0.043,0.0541
0.9722,0.2771,0.1193,0.0667
0.0282,0.1549,0.0326,0.0537
1.0278,0.1176,0.1892,0.0111
0.0909,0.0395,0.12,0.0778
1.2188,0.0909,0.103,0.1535
0.0345,0.0641,0.1,0.2082
0.1176,0.027,0.0551,0.1053
0.1587,0.1429,0.0098,0.3379
0.2683,0.0985,0.0595,0.0303
0.0779,0.0875,0.0062,0.1034
0.0139,0.0135,0.0706,0.2188
0.0909,0.0171,0.2222,0.1847
0.2,0.0721,0.06,0.0986
1.1429,0.1,0.0729,0.2787
0.0625,0.0909,0.0545,0.0978
0.1176,0.0769,0.103,0.138
0.0429,0.0171,0.0222,0.1143
0.0476,0.0875,0.1282,0.0486
0.4634,0.0357,0.1944,0.1122
0.5435,0.3678,0.0254,0
1.2188,0.125,0.1934,0
0.8205,0.0698,0.0162,0.0051
1.0857,0.0714,0.1012,0.05
1.0882,0.0244,0.0381,0.05
0.5789,0.1081,0.1622,0.0727
0.825,0.0137,0.0856,0.0162
0.5789,0.1489,0.0238,0.0778
0.5435,0.0875,0.1556,0.1064
1,0.0938,0.1622,0.05
0.0909,0.0312,0.0595,0.322
0.6512,0.0875,0.102,0.1818
0.2857,0.1803,0.1,0.1122
0.3878,0.0735,0.1576,0.1304
0.0274,0.0769,0.0312,0.0667
0.0395,0.2593,0.0914,0.0667
0.825,0.0571,0.04,0.0737
0.875,0.0625,0.1314,0.0421
0.0164,0.1098,0.1711,0.0211
0.9722,0.1471,0.0098,0.0051
0.0274,0.0325,0.0269,0.0323
0.875,0.0167,0.0476,0.0162
0.1892,0.0083,0.0258,0.1412
0.1205,0.1111,0.3,0.0741
0.6136,0.1061,0.0202,0.0303
0.825,0.0526,0.1,0.2381
