N,N2,N3,M,All,X100
14.028,14.249,15.417,13.794,14.088,14.70161651
14.903,13.56,14.014,14.612,14.167,14.33496914
14.3,14.91,15.697,14.192,14.281,14.69222956
14.543,14.845,14.007,13.539,14.334,14.21978651
14.382,15.525,15.156,14.224,14.107,14.16729072
14.319,14.58,13.135,13.36,14.223,14.15038639
13.772,13.778,14.308,15.125,14.229,14.03464473
15.137,13.357,13.501,13.392,14.247,14.46407844
15.861,15.049,14.003,13.014,14.137,14.49154659
15.855,13.465,14.483,14.055,14.349,14.4725533
13.914,12.902,14.235,13.934,14.4,14.38226361
14.122,12.736,16.085,13.759,13.695,14.03327771
14.332,15.197,14.09,15.326,13.702,14.27990747
14.475,14.447,15.599,14.694,14.238,14.34592096
14.141,13.937,14.232,14.46,13.359,13.76046853
15.093,15.224,14.261,14.722,13.335,14.29778185
14.166,15.736,13.858,13.44,13.499,14.3139291
14.623,13.698,14.388,15.708,13.483,13.94448168
15.215,14.375,13.574,14.602,13.907,13.54234914
15.303,14.05,15.042,13.161,13.398,14.44081162
13.847,13.412,13.574,14.376,13.44,14.04076001
15.045,13.419,14.534,13.937,13.277,13.88342308
14.441,14.323,14.949,13.437,13.371,13.93568235
13.89,16.083,14.442,14.192,13.611,14.14850323
15.002,14.12,14.2,13.977,15.688,14.16419357
16.368,15.843,13.967,15.499,15.721,13.77366453
13.856,15.623,14.174,14.756,14.28,14.42056383
14.093,14.005,13.882,15.566,15.02,16.39457358
15.985,15.296,14.584,14.842,15.101,15.94136766
13.48,13.832,13.596,14.053,15.348,16.05409836
15.518,13.419,13.401,14.4,15.032,16.02078256
14.345,13.702,14.756,15.214,15.186,15.41854443
15.266,13.814,14.182,13.075,14.623,16.16675866
14.442,14.3,13.25,16.043,14.673,16.3155961
14.336,15.513,13.21,13.181,14.996,16.20824795
15.692,15.587,14.223,13.649,15.306,16.25479606
15.491,14.602,15.513,15.146,15.277,16.12674637
13.369,14.398,16.301,15.088,15.577,16.15671219
13.631,14.093,13.263,15.427,14.585,16.37471925
15.26,15.623,13.41,14.746,14.675,15.75885754
14.234,15.137,14.585,13.937,14.434,16.51125921
13.446,14.405,14.455,14.155,15.313,16.20594642
13.004,14.128,14.764,15.4,15.501,16.30329523
15.143,13.988,14.505,13.514,14.811,16.40281628
14.203,14.707,14.105,13.816,14.602,16.12851034
14.168,14.357,13.37,15.434,15.014,16.25904774
14.591,14.699,15.064,15.739,14.449,16.27112871
15.873,13.871,15.9,14.981,15.042,15.94398314
13.615,15.185,15.595,13.31,15.154,15.8977786
14.281,15.322,14.779,14.439,15.331,15.24432392
14.747,14.62,15.331,13.802,14.868,15.80690526
14.796,15.806,13.622,15.15,15.458,15.87110576
14.981,13.939,13.17,14.302,15.038,15.75906376
13.778,14.631,15.093,14.585,14.863,16.08235211
13.185,14.039,14.439,15.553,15.434,15.63468587
15.926,13.014,14.461,13.965,14.813,16.13159519
15.447,13.424,16.059,13.198,14.978,16.12785751
13.968,14.028,15.585,13.938,14.671,15.68831099
15.683,14.33,13.521,14.677,15.098,16.09092984
14.3,13.659,14.245,14.426,14.969,15.73454455
14.988,13.591,15.48,13.917,14.617,15.81551018
13.63,14.27,14.56,13.782,14.925,16.11868973
14.166,14.554,14.447,13.61,14.8,15.54896144
13.252,16.453,14.327,15.898,14.662,15.94993085
13.736,14.936,13.946,15.568,15.234,15.90440353
15.018,16.283,14.818,15.591,15.077,15.86532599
15.038,14.674,15.031,13.794,15.067,16.03035529
14.203,14.139,13.949,15.344,15.301,16.06047514
13.849,14.623,15.12,13.618,14.909,15.69026894
16.016,13.245,14.221,15.03,15.366,15.9445142
13.175,15.913,14.723,13.532,14.691,16.16979091
13.93,15.047,14.012,14.033,14.662,16.19423902
14.35,13.683,15.014,14.703,14.705,15.72062837
14.131,14.535,14.126,14.622,15.458,16.28245614
15.003,14.246,15.329,14.274,15.177,16.01044844
15.032,13.501,14.255,13.308,15.513,15.75774796
13.394,13.926,14.573,13.129,14.833,15.98614337
13.972,14.651,15.256,14.1,15.226,15.56506286
14.418,14.759,13.176,13.761,15.112,16.26308183
15.417,15.072,14.171,13.663,15.427,16.19475781
15.305,14.829,13.972,14.338,15.307,15.66009761
13.421,14.051,13.297,14.536,15.315,15.46426624
15.054,13.288,15.395,13.792,15.256,15.81288495
14.103,14.075,14.785,13.517,15.14,16.10221386
16.198,16.057,14.088,14.693,14.763,15.96794209
13.863,15.93,13.445,14.065,14.861,15.39619914
14.717,14.864,13.276,15.823,14.651,15.34894061
14.153,14.764,13.591,13.446,15.097,15.94638236
14.56,15.952,14.166,14.809,15.364,15.72271891
15.072,13.52,14.646,14.579,15.074,15.83827845
13.896,14.234,15.187,14.003,15.344,16.04628455
14.512,13.086,14.026,14.966,15.109,15.80195796
14.892,16.384,14.566,14.639,15.211,15.92324735
14.013,15.46,13.698,15.039,14.884,15.12268987
14.783,14.221,14.33,14.087,14.751,15.87772684
14.353,13.955,15.739,14.281,15.371,16.16935809
15.337,14.401,13.963,13.406,15.645,16.09498508
14.482,13.983,15.263,15.577,15.009,16.14184751
13.659,13.735,14.563,13.178,14.885,16.05575679
15.578,14.508,13.128,13.988,14.651,15.64674706
14.493,14.617,14.958,16.022,15.268,
14.297,13.195,14.464,14.468,15.431,
14.668,14.288,15.175,14.76,15.237,
15.681,15.317,14.422,15.098,15.253,
16.159,14.83,14.453,14.796,15.015,
15.7,16.379,14.595,13.592,14.674,
13.655,13.977,14.684,14.733,15.425,
13.37,13.128,13.449,15.584,15.523,
14.839,14.735,14.17,13.117,14.784,
14.448,14.357,14.114,16.093,15.428,
14.324,14.893,14.4,13.587,14.929,
14.54,14.723,13.878,14.282,14.792,
14.819,13.159,14.335,14.987,15.147,
14.019,14.164,14.074,15.366,15.4,
14.584,15.361,14.503,13.255,15.345,
13.904,15.978,14.095,13.634,14.536,
14.481,14.016,14.591,14.902,14.632,
15.148,14.633,14.084,13.797,15.041,
13.955,13.595,13.483,14.036,14.908,
14.626,13.071,14.47,16.029,14.819,
14.149,14.114,14.651,13.976,14.877,
15.371,14.211,14.223,13.13,15.176,
14.567,15.391,14.528,15.047,14.572,
14.566,14.671,16.241,13.969,15.027,
13.203,15.999,13.81,15.158,14.99,
14.039,14.335,15.248,13.412,14.643,
14.476,13.728,14.275,13.576,14.223,
14.527,14.479,13.97,14.128,15.022,
15.67,15.538,15.843,16.474,14.718,
13.923,13.078,15.066,14.192,15.207,
14.119,14.486,14.644,15.309,14.764,
14.097,14.803,16.356,15.369,14.944,
13.763,13.869,13.889,15.701,14.925,
14.114,13.975,14.547,14.922,14.437,
14.274,16.27,15.293,13.307,15.006,
13.07,13.677,13.562,13.646,15.299,
15.93,13.465,14.513,14.623,14.854,
14.16,14.987,14.173,13.804,14.699,
13.81,13.922,15.719,14.219,14.563,
15.428,14.288,14.005,15.661,14.848,
14.04,13.991,13.837,14.839,14.969,
13.979,15.15,13.515,14.236,14.761,
15.253,15.8,13.46,15.18,14.325,
13.482,14.918,13.863,14.159,14.506,
13.366,15.173,15.256,14.401,14.203,
15.142,14.629,13.784,13.963,14.653,
13.499,15.18,14.548,14.673,14.52,
14.718,13.117,13.516,14.858,14.595,
14.833,13.646,14.071,15.193,14.88,
14.633,13.605,13.81,14.38,14.667,
16.1,13.226,14.211,14.817,15.292,
14.003,13.648,15.295,16.368,14.408,
14.16,14.286,14.57,14.839,14.986,
14.164,15.681,14,13.731,14.597,
13.403,13.357,14.527,13.944,13.727,
13.404,14.835,15.011,15.329,14.253,
13.881,14.46,14.881,14.318,14.728,
13.457,14.227,15.129,15.039,14.405,
16.189,14.564,13.906,13.83,14.29,
13.297,14.265,15.135,13.498,14.809,
15.463,15.204,14.706,14.539,14.735,
14.927,13.375,14.181,14.877,13.966,
14.534,14.594,14.806,13.387,14.097,
13.607,13.94,13.128,15.612,14.465,
15.225,15.088,14.451,16.313,14.759,
13.421,14.132,16.301,16.581,14.465,
14.012,15.137,14.391,13.915,14.803,
15.449,15.104,13.172,14.12,14.288,
13.401,15.343,13.933,14.485,13.97,
14.232,16.301,14.523,15.513,14.022,
15.821,13.725,13.203,15.49,13.595,
13.728,13.981,14.139,14.166,14.593,
13.875,14.026,15.125,14.08,14.488,
14.227,13.087,14.671,16.131,14.576,
14.74,14.878,14.48,15.334,14.174,
13.611,14.153,16.223,14.019,14.515,
13.515,15.63,13.252,13.513,14.233,
14.051,13.646,14.36,14.45,14.78,
13.765,13.356,15.048,15.979,14.78,
13.637,12.819,15.98,14.101,14.493,
16.367,14.763,14.013,14.692,14.827,
15.974,14.052,13.631,15.948,13.979,
16.206,13.764,13.552,13.873,14.028,
13.93,14.534,15.463,15.091,14.689,
14.433,14.015,14.44,14.927,13.984,
15.234,15.316,14.702,13.518,14.702,
13.875,14.026,13.806,16.429,14.245,
14.354,15.532,15.967,13.458,14.34,
14.868,15.14,14.764,14.815,14.306,
13.159,14.785,14.038,15.873,14.267,
15.088,13.457,14.465,15.305,14.468,
16.533,15.59,13.97,13.722,14.576,
14.427,14.409,13.246,16.234,14.233,
15.585,13.727,16.004,13.348,14.069,
15.427,13.069,14.276,13.914,14.478,
,15.36,14.58,15.026,14.423,
,14.488,14.301,14.615,14.449,
,13.646,14.031,15.083,14.451,
,14.041,13.574,15.002,14.382,
,14.085,15.33,14.707,13.889,
,15.855,15.297,13.224,13.711,
,13.68,15.288,15.868,14.155,
,13.531,15.357,14.229,14.105,
,14.644,14.516,14.796,14.288,
,14.288,13.875,13.808,13.711,
,14.371,14.155,14.282,13.611,
,14.318,14.717,14.028,14.312,
,14.4,15.162,13.917,14.234,
,13.604,14.391,14.493,13.939,
,14.472,15.518,13.784,14.04,
,14.686,15.708,14.313,13.76,
,13.894,16.198,14.001,14.275,
,14.961,15.041,14.228,13.963,
,13.994,13.117,13.468,14.149,
,14.397,14.308,13.863,14.232,
,13.933,13.951,14.864,14.483,
,15.873,14.261,15.277,14.208,
,14.199,13.408,16.273,14.57,
,14.884,13.794,15.031,14.17,
,14.428,13.536,13.199,13.99,
,15.845,15.097,14.766,14.244,
,13.528,15.163,13.491,13.993,
,14.976,13.366,16.109,14.61,
,16.269,14.298,14.251,14.223,
,13.591,14.367,15.861,14.342,
,15.663,14.339,13.536,14.34,
,14.323,13.523,15.418,14.342,
,15.18,14.616,14.242,14.034,
,13.459,14.966,14.151,14.498,
,15.998,14.32,15.345,14.529,
,15.257,15.49,15.384,14.431,
,13.293,15.218,15.246,14.519,
,13.886,13.857,15.701,14.462,
,15.088,15.234,13.623,14.579,
,13.523,13.597,14.477,14.415,
,15.493,14.312,13.291,14.293,
,16.071,14.355,15.789,14.259,
,15.56,14.756,14.111,14.108,
,13.657,13.511,14.054,14.6,
,15.701,15.549,15.512,14.661,
,14.611,13.632,14.142,14.74,
,13.812,14.467,14.735,14.403,
,14.215,14.381,13.209,14.039,
,14.764,13.703,14.975,14.225,
,14.978,14.921,14.23,13.888,
,14.208,15.703,15.284,14.785,
,14.914,14.612,15.841,14.35,
,13.324,14.454,13.506,14.469,
,14.923,13.875,13.387,13.854,
,15.434,13.316,12.823,14.295,
,14.355,16.453,14.208,14.464,
,15.136,15.128,14.261,14.718,
,15.265,15.006,14.664,14.435,
,13.591,14.422,14.088,14.124,
,14.331,13.52,14.779,14.528,
,14.162,14.752,14.423,14.324,
,15.305,13.938,13.511,13.969,
,14.101,15.317,14.184,14.56,
,13.493,15.93,13.462,14.493,
,15.48,14.011,14.764,14.418,
,14.305,14.851,14.342,14.493,
,14.161,15.18,14.865,14.702,
,13.159,15.336,15.252,14.821,
,13.094,14.12,14.644,14.301,
,14.458,14.203,13.416,14.114,
,16.296,13.848,15.371,14.11,
,14.489,13.596,15.508,13.685,
,13.844,13.682,15.217,14.639,
,13.532,14.187,14.835,14.868,
,14.526,15.211,13.731,14.488,
,13.238,14.245,15.585,14.485,
,15.357,13.613,14.306,14.318,
,14.533,13.171,15.006,14.79,
,13.904,14.028,13.567,14.325,
,15.188,13.723,15.033,14.526,
,14.802,14.26,14.883,13.8,
,15.092,14.542,13.952,14.297,
,16.127,15.25,14.437,14.103,
,15.708,14.446,16.182,14.161,
,13.71,14.951,14.052,14.3,
,13.071,14.62,15.468,14.536,
,14.376,15.638,14.643,14.637,
,15.816,15.104,15.381,14.379,
,15.293,13.939,13.989,14.698,
,15.3,13.531,14.338,13.703,
,14.184,15.473,14.595,13.986,
,16.159,15.063,13.935,14.239,
,15.463,16.009,14.022,14.671,
,15.054,13.96,13.409,14.255,
,13.8,14.903,14.749,14.434,
,13.018,16.258,14.559,14.15,
,13.82,14.406,13.906,14.341,
,15.213,15.518,14.955,14.716,
,15.57,14.924,13.948,14.257,
,16.223,14.502,14.509,13.926,
,15.44,15.114,14.532,14.153,
,13.81,14.514,14.409,14.379,
,15.483,14.921,14.209,14.183,
,14.674,14.108,13.247,14.514,
,14.154,14.426,14.265,13.922,
,15.663,13.65,13.276,14.471,
,15.937,13.811,13.93,13.926,
,15.094,13.553,14.975,14.111,
,13.344,14.041,13.518,14.094,
,14.319,15.96,13.946,14.507,
,14.515,13.185,14.45,14.209,
,14.338,13.903,13.797,14.193,
,13.883,14.508,13.849,14.232,
,14.119,13.335,15.181,14.085,
,14.192,14.718,13.552,14.364,
,14.321,14.341,14.443,14.213,
,14.171,16.059,14.629,14.383,
,13.764,14.177,14.912,14.749,
,14.483,13.075,14.757,14.338,
,13.63,13.808,15.853,14.46,
,14.84,14.466,15.109,14.58,
,14.028,14.995,15.33,14.627,
,16.184,15.397,14.88,14.496,
,14.184,13.567,14.469,14.419,
,13.888,14.877,13.445,14.893,
,14.375,14.564,13.837,14.189,
,13.97,14.52,13.319,14.341,
,16.206,14.149,15.458,14.616,
,14.281,14.306,15.295,14.566,
,14.547,16.296,13.993,14.584,
,14.612,15.12,14.636,14.378,
,15.305,13.482,15.749,14.55,
,15.799,14.132,14.122,14.464,
,14.777,14.177,13.547,14.292,
,14.335,14.474,14.015,14.561,
,16.198,13.937,13.965,14.552,
,14.006,14.731,15.475,14.136,
,16.093,15.234,15.588,14.208,
,13.804,14.122,15.983,14.439,
,13.424,13.238,14.169,14.581,
,15.421,14.649,13.699,14.495,
,13.805,14.855,15.072,14.436,
,13.772,15.211,14.571,14.44,
,15.098,13.917,14.418,14.343,
,14.325,15.59,13.614,14.549,
,14.893,14.402,14.389,14.585,
,15.425,15.313,15.299,14.267,
,15.191,14.032,15.054,14.382,
,14.009,15.344,13.799,14.335,
,13.23,15.008,13.736,14.475,
,14.405,13.596,13.506,14.067,
,15.316,14.785,14.178,14.162,
,13.773,14.493,13.754,14.185,
,14.097,15.22,13.644,14.373,
,15.179,15.349,14.355,14.78,
,15.005,15.63,15.104,14.636,
,15.988,14.75,14.412,14.143,
,15.397,14.239,13.835,14.311,
,14.324,13.449,14.649,14.747,
,13.866,14.475,14.257,14.175,
,14.755,14.39,14.616,14.063,
,13.889,14.383,14.043,14.808,
,13.158,15.088,15.639,14.154,
,14.95,15.018,14.119,14.745,
,14.407,14.297,14.744,14.764,
,14.011,13.803,13.878,14.508,
,14.686,13.938,14.832,14.527,
,14.921,15.234,15.947,14.705,
,13.611,13.543,13.835,14.015,
,13.85,13.962,14.088,14.508,
,15.78,14.239,14.813,14.382,
,15.938,16.014,14.649,14.584,
,13.959,14.353,14.419,13.426,
,13.079,13.427,13.226,14.902,
,14.141,13.953,13.782,15.009,
,14.585,14.542,14.335,14.39,
,14.512,14.486,14.3,14.447,
,13.351,13.978,14.528,14.73,
,14.139,13.369,14.151,14.334,
,14.838,14.979,13.731,14.142,
,14.459,13.893,15.621,14.347,
,13.731,15.749,14.5,14.409,
,14.47,15.268,15.816,14.198,
,14.929,14.763,15.626,14.015,
,15.116,13.992,14.153,14.515,
,15.269,13.275,14.64,14.62,
,14.749,16.233,13.883,14.694,
,15.336,14.414,14.303,14.398,
,15.097,15.138,15.207,14.607,
,13.034,13.587,15.558,14.471,
,14.292,15.911,13.41,14.829,
,13.995,13.524,15.236,14.84,
,13.097,14.85,15.768,14.38,
,14.002,13.159,14.573,14.22,
,14.242,13.614,13.627,14.513,
,,15.542,15.057,14.582,
,,14.816,13.847,14.769,
,,14.699,13.894,14.76,
,,14.041,13.23,14.936,
,,14.755,14.033,14.218,
,,13.562,15.755,14.675,
,,15.273,15.518,14.777,
,,14.442,14.877,14.424,
,,14.001,14.553,14.463,
,,14.715,13.588,14.703,
,,13.894,13.915,14.926,
,,13.771,14.409,14.676,
,,15.339,14.451,14.123,
,,14.728,15.108,14.615,
,,15.531,14.158,14.636,
,,15.107,13.972,14.474,
,,14.169,14.689,14.755,
,,14.68,14.889,14.393,
,,13.881,14.667,14.579,
,,15.206,13.368,14.332,
,,15.251,14.176,14.602,
,,13.797,15.256,14.455,
,,14.458,14.824,14.738,
,,14.437,14.849,14.037,
,,14.915,15.047,14.052,
,,14.434,14.095,14.459,
,,12.823,14.055,14.706,
,,13.877,16.241,14.422,
,,14.616,13.37,13.923,
,,13.946,13.945,14.121,
,,14.981,14.337,14.466,
,,14.454,13.068,14.299,
,,14.839,14.639,14.018,
,,15.43,15.88,14.241,
,,15.441,13.478,14.403,
,,13.682,14.123,14.053,
,,14.617,14.717,13.942,
,,14.705,14.062,14.381,
,,14.61,13.325,14.266,
,,13.767,14.218,13.506,
,,16.101,14.518,14.147,
,,15.337,15.105,14.216,
,,14.178,15.1,14.155,
,,15.945,14.576,14.37,
,,14.851,13.933,13.591,
,,14.892,14.37,13.757,
,,14.619,15.765,13.783,
,,14.645,16.168,14.184,
,,14.459,14.514,14.263,
,,14.702,15.421,14.548,
,,13.878,14.633,13.991,
,,14.067,14.35,13.794,
,,14.308,13.578,14.13,
,,13.436,14.056,14.463,
,,14.477,13.674,14.398,
,,14.601,15.991,13.879,
,,15.417,14.018,14.124,
,,14.336,13.426,14.344,
,,15.26,13.728,14.451,
,,16.004,15.112,13.835,
,,13.938,13.252,14.053,
,,16.078,15.186,13.856,
,,13.041,14.462,13.401,
,,13.634,14.194,13.89,
,,14.644,13.528,13.961,
,,14.565,13.647,13.744,
,,14.194,13.937,14.048,
,,14.192,13.086,15.138,
,,14.356,13.535,15.011,
,,13.404,14.35,14.841,
,,14.74,13.844,14.747,
,,14.268,14.24,14.614,
,,14.408,14.515,14.524,
,,15.961,15.022,14.541,
,,16.347,14.531,14.637,
,,15.213,14.168,14.611,
,,14.174,14.3,14.493,
,,14.637,15.483,14.701,
,,14.322,13.881,14.585,
,,15.911,14.895,14.39,
,,15.514,15.148,14.465,
,,13.432,13.391,14.538,
,,14.94,15.532,14.667,
,,15.313,14.566,14.59,
,,13.474,13.358,14.722,
,,15.002,14.022,14.571,
,,15.034,12.908,14.41,
,,14,15.206,14.59,
,,14.749,13.168,14.292,
,,14.73,14.281,14.151,
,,14.869,16.353,14.419,
,,16.368,15.619,14.694,
,,13.609,13.302,14.669,
,,15.982,13.143,14.87,
,,14.559,14.132,14.677,
,,13.78,15.965,14.579,
,,13.339,15.892,14.752,
,,14.212,15.169,14.459,
,,14.771,15.543,14.769,
,,14.08,14.51,14.748,
,,13.734,15.366,14.402,
